language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,182.50,0.00,0.0020022
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,214.50,0.00,0.0024765
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,24069.80,0.00,0.1047048
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,196.70,0.00,0.0025028
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,156.20,0.00,0.0022833
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,52.00,0.00,0.0011061
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,28126.90,0.00,0.1230321
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,234.40,0.00,0.0025278
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,137.20,0.00,0.0020970
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,195.80,0.00,0.0021122
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,260.10,0.00,0.0023511
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,311.10,0.00,0.0024609
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,37615.20,0.00,0.1538939
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,205.70,0.00,0.0021091
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,149.80,0.00,0.0020488
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,40.70,0.00,0.0009900
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,27124.70,0.00,0.1121917
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,184.30,0.00,0.0021963
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,173.70,0.00,0.0021147
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,193.90,0.00,0.0022554
