language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,50.10,0.00,0.0026843
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,39.00,0.00,0.0021685
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,2383.90,0.00,0.0246594
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,41.50,0.00,0.0019721
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,31.10,0.00,0.0019699
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,37.10,0.00,0.0033445
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,3193.80,0.00,0.0299222
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,53.80,0.00,0.0021506
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,41.10,0.00,0.0020004
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,69.10,0.00,0.0020874
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,134.10,0.00,0.0027410
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,82.70,0.00,0.0027717
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,8671.00,0.00,0.0749829
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,150.10,0.00,0.0027769
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,46.10,0.00,0.0016257
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,42.80,0.00,0.0016663
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,6159.60,0.00,0.0517103
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,103.10,0.00,0.0026560
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,90.50,0.00,0.0023597
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,127.30,0.00,0.0030043
