language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_none"],false,0.00,69.40,0.00,0.0013950
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_all"],false,0.00,32.60,0.00,0.0011215
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_var_leq"],false,0.00,9261.30,0.00,0.0634730
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["shift_abs_no_incr"],false,0.00,62.40,0.00,0.0013344
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_all"],false,0.00,56.00,0.00,0.0009212
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_var_none"],false,0.00,41.40,0.00,0.0010945
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_shift"],false,0.00,12425.90,0.00,0.0601894
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["subst_abs_no_incr"],false,0.00,89.90,0.00,0.0015662
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift"],false,0.00,48.90,0.00,0.0011531
"OCaml","STLC","qcheck:bespoke","SinglePreserve",["substTop_no_shift_back"],false,0.00,35.50,0.00,0.0008867
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_none"],false,0.00,159.70,0.00,0.0021262
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_all"],false,0.00,147.40,0.00,0.0017400
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_var_leq"],false,0.00,16983.70,0.00,0.0853349
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["shift_abs_no_incr"],false,0.00,87.40,0.00,0.0014809
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_all"],false,0.00,38.00,0.00,0.0010452
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_var_none"],false,0.00,57.20,0.00,0.0011419
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_shift"],false,0.00,7931.90,0.00,0.0379763
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["subst_abs_no_incr"],false,0.00,93.50,0.00,0.0014347
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift"],false,0.00,71.10,0.00,0.0011195
"OCaml","STLC","qcheck:bespoke","MultiPreserve",["substTop_no_shift_back"],false,0.00,171.00,0.00,0.0019013
