language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,3.10,0.00,0.0018143
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,10.70,0.00,0.0051419
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,79.30,0.00,0.0307801
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,9.50,0.00,0.0039542
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,5.80,0.00,0.0020153
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,2.50,0.00,0.0013656
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,109.20,0.00,0.0397574
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,6.60,0.00,0.0030261
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,5.20,0.00,0.0022858
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,7.60,0.00,0.0026749
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,16.80,0.00,0.0081095
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,20.40,0.00,0.0088285
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,737.80,0.00,0.2232980
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,12.00,0.00,0.0043534
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,15.00,0.00,0.0077204
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,6.00,0.00,0.0047531
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,259.50,0.00,0.0894314
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,15.00,0.00,0.0069696
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,19.10,0.00,0.0083712
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,20.40,0.00,0.0087788
