language,workload,strategy,property,mutations,cross,discards,tests,shrinks,time
"Racket","STLC","rc","SinglePreserve",["shift_var_none"],false,0.00,77.00,0.00,0.0078227
"Racket","STLC","rc","SinglePreserve",["shift_var_all"],false,0.00,26.10,0.00,0.0034051
"Racket","STLC","rc","SinglePreserve",["shift_var_leq"],false,0.00,4399.70,0.00,0.3578454
"Racket","STLC","rc","SinglePreserve",["shift_abs_no_incr"],false,0.00,38.70,0.00,0.0050551
"Racket","STLC","rc","SinglePreserve",["subst_var_all"],false,0.00,36.40,0.00,0.0041095
"Racket","STLC","rc","SinglePreserve",["subst_var_none"],false,0.00,28.50,0.00,0.0037987
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_shift"],false,0.00,5328.70,0.00,0.3908395
"Racket","STLC","rc","SinglePreserve",["subst_abs_no_incr"],false,0.00,52.30,0.00,0.0064652
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift"],false,0.00,50.90,0.00,0.0070300
"Racket","STLC","rc","SinglePreserve",["substTop_no_shift_back"],false,0.00,81.90,0.00,0.0097675
"Racket","STLC","rc","MultiPreserve",["shift_var_none"],false,0.00,49.80,0.00,0.0068382
"Racket","STLC","rc","MultiPreserve",["shift_var_all"],false,0.00,160.50,0.00,0.0191500
"Racket","STLC","rc","MultiPreserve",["shift_var_leq"],false,0.00,7720.00,0.00,0.5917339
"Racket","STLC","rc","MultiPreserve",["shift_abs_no_incr"],false,0.00,71.90,0.00,0.0091936
"Racket","STLC","rc","MultiPreserve",["subst_var_all"],false,0.00,65.00,0.00,0.0078693
"Racket","STLC","rc","MultiPreserve",["subst_var_none"],false,0.00,38.90,0.00,0.0048968
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_shift"],false,0.00,4182.60,0.00,0.3235065
"Racket","STLC","rc","MultiPreserve",["subst_abs_no_incr"],false,0.00,64.20,0.00,0.0113364
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift"],false,0.00,56.10,0.00,0.0067152
"Racket","STLC","rc","MultiPreserve",["substTop_no_shift_back"],false,0.00,103.50,0.00,0.0112005
